Phase,Priority,Status,Method,Endpoint,Description,Auth Required,Request Body Example,Response Example,Notes
Current,1,✅,POST,/api/v2/auth/login,로그인,No,"{""user_id"":""user1"",""password"":""test1234""}","{""data"":{""access_token"":""..."",""refresh_token"":""..."",""user"":{...}}}",레거시 비밀번호 호환
Current,1,✅,POST,/api/v2/auth/refresh,토큰 재발급,No,"{""refresh_token"":""...""}","{""data"":{""access_token"":""...""}}",
Current,1,✅,GET,/api/v2/auth/profile,프로필 조회,Yes,,"{""data"":{""user_id"":""user1"",""nickname"":""user1"",""level"":1}}",
Current,1,✅,GET,/api/v2/boards/{board_id}/posts,게시글 목록,No,,"{""data"":[...],""meta"":{""page"":1,""limit"":20,""total"":100}}",페이지네이션 지원
Current,1,✅,GET,/api/v2/boards/{board_id}/posts/search,게시글 검색,No,,"{""data"":[...],""meta"":{...}}",키워드 검색
Current,1,✅,GET,/api/v2/boards/{board_id}/posts/{id},게시글 상세,No,,"{""data"":{""id"":1,""title"":""..."",""content"":""...""}}",조회수 자동 증가
Current,1,✅,POST,/api/v2/boards/{board_id}/posts,게시글 작성,Yes,"{""title"":""제목"",""content"":""내용"",""author"":""user1""}","{""data"":{""id"":138,...}}",
Current,1,✅,PUT,/api/v2/boards/{board_id}/posts/{id},게시글 수정,Yes,"{""title"":""수정된 제목"",""content"":""수정된 내용""}","HTTP 204 No Content",본인만 수정 가능
Current,1,✅,DELETE,/api/v2/boards/{board_id}/posts/{id},게시글 삭제,Yes,,"HTTP 204 No Content",본인만 삭제 가능
Current,1,✅,GET,/api/v2/boards/{board_id}/posts/{post_id}/comments,댓글 목록,No,,"{""data"":[{""id"":139,""content"":""..."",""author"":""user1""}]}",
Current,1,✅,GET,/api/v2/boards/{board_id}/posts/{post_id}/comments/{id},댓글 상세,No,,"{""data"":{""id"":139,""content"":""...""}}",
Current,1,✅,POST,/api/v2/boards/{board_id}/posts/{post_id}/comments,댓글 작성,Yes,"{""content"":""댓글 내용"",""author"":""user1""}","{""data"":{""id"":139,...}}",
Current,1,✅,PUT,/api/v2/boards/{board_id}/posts/{post_id}/comments/{id},댓글 수정,Yes,"{""content"":""수정된 댓글""}","HTTP 204 No Content",본인만 수정 가능
Current,1,✅,DELETE,/api/v2/boards/{board_id}/posts/{post_id}/comments/{id},댓글 삭제,Yes,,"HTTP 204 No Content",본인만 삭제 가능
Phase 1,1,✅,POST,/api/v2/boards/{board_id}/posts/{id}/recommend,게시글 추천,Yes,,"{""data"":{""recommend_count"":10}}",두 번 누르면 취소
Phase 1,1,✅,DELETE,/api/v2/boards/{board_id}/posts/{id}/recommend,게시글 추천 취소,Yes,,"HTTP 204 No Content",
Phase 1,1,✅,POST,/api/v2/boards/{board_id}/posts/{id}/downvote,게시글 비추천,Yes,,"{""data"":{""downvote_count"":2}}",관리자 설정에 따라 표시
